"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USP13",815.817205226796,0.601027692949016,0.356807938147504,1.68445717903437,0.0920933483678989,0.550586188414323
"PEX5L",17.6479549902089,-0.251561846717686,2.34313650728116,-0.107361157122503,0.914502468474958,0.997894714965317
"TTC14",903.996667853065,-0.563896986628349,0.556826605211998,-1.0126976357634,0.311204607495331,0.825968097347778
"CCDC39-AS1",1.14055678561972,-0.318438754024803,7.51553818289224,-0.0423707186731712,0.966203170492616,NA
"FXR1",3829.78067853061,-0.314295063944312,0.266340018789464,-1.18005197030775,0.237979545589159,0.768154965653035
"DNAJC19",1181.76307175008,-0.0181066922156107,0.228779175526582,-0.0791448442540037,0.936917414801262,0.998248352301481
"SOX2-OT",249.783527108871,-1.59190358115615,1.08611674705542,-1.46568367118173,0.142734484666706,0.648033050351065
"RNU6-4P",3.41265354657522,-1.69650148073271,6.7573254601325,-0.251061087813793,0.801766879963156,NA
"SOX2",2823.52794546185,-5.12310536790465,2.67186441786228,-1.91742714699707,0.0551836881619842,0.44572716460296
"PSMG3P2",0.979672996210747,0.050782125568389,7.49576513411977,0.00677477544450202,0.994594552619452,NA
"LINC01206",1.15310333556311,-1.01987738091063,7.51631937397886,-0.135688404146503,0.892067615084868,NA
"ATP11B",358.717523947176,0.231614354900786,0.565309237463339,0.409712666186189,0.682016737505561,0.973334955193213
"DCUN1D1",487.758459630686,0.226837530955106,0.43285271355922,0.524052463688832,0.600242050230309,0.953533317206755
"C9orf85P2",0.878380621831003,2.55832296706243,7.46104666151024,0.342890626895582,0.731680743434305,NA
"MCCC1",319.305364895586,0.302420885298334,0.404150017301622,0.748288685764509,0.454286047514722,0.89862430245196
"LAMP3",32.1526924217304,-1.63398803170993,2.74535502638413,-0.595182778185899,0.551721300793193,0.942920263521642
"MCF2L2",6.30803082564856,-2.89211801024512,2.99031484959319,-0.967161705610556,0.333463202431667,NA
"B3GNT5",342.852027850829,0.970921538069966,0.778032138672458,1.24791957788097,0.212060510203307,0.74700907924115
"SNHG33",507.233138431428,-0.485410311408144,0.425962271274056,-1.13956175028431,0.2544689283962,0.781789844587062
"KLHL6",199.908000980082,-0.95485565185489,0.870540235757642,-1.09685412877426,0.272705163727272,0.797054505005635
"KLHL6-AS1",1.5538195487418,0.142456103265158,7.52236484939497,0.0189376753344549,0.984890824353118,NA
"KLHL24",968.66667170589,-0.518026672870722,0.277090698246482,-1.86952025509683,0.0615504683033744,0.468073891503303
"YEATS2",1390.37951975965,-0.0856753951250411,0.266956313488873,-0.320934140891229,0.748260300658555,0.983763782772662
"YEATS2-AS1",2.24461000377526,4.04315547785003,7.388032400299,0.547257410198472,0.584201899323059,NA
"MAP6D1",67.9504606020718,-0.495447651128278,0.88903857841091,-0.557284760368727,0.577332886263081,0.948913929943724
"PARL",1370.67020829257,0.310805194213879,0.305588015703462,1.0170725887218,0.309118899125786,0.824449373439143
"ABCC5",769.419017900453,-0.524888562064303,0.278947637448605,-1.88167416245284,0.0598802699217685,0.461401730149532
"HTR3D",0.909018340625997,4.56864337308444,7.39217223869901,0.618038003655674,0.536550287528138,NA
"HSP90AA5P",2.42806797205213,-1.51723303588347,7.49428901328275,-0.202451898131277,0.839563459438832,NA
"EIF2B5-DT",4.09634324764606,-1.5096464829987,7.49523988405937,-0.201414031618837,0.840374844385152,NA
"EIF2B5",729.477445694632,0.345305936188833,0.344124024220465,1.00343455232759,0.31565123994998,0.830252807236964
